x_axis,y_axis,은행명,은행코드,점포명,주소,주소_변환
127.0014973,37.5055153,국민,40811,반포중앙종합금융센터,서울특별시 서초구 신반포로 157 반포쇼핑타운,서울 서초구 신반포로 157 (잠원동)
127.0317744,37.5284284,국민,40837,압구정중앙,서울특별시 강남구 압구정로 222,서울 강남구 압구정로 222 (신사동)
126.9961932,37.483029,국민,40840,방배역,서울특별시 서초구 방배로 99 국민은행,서울 서초구 방배로 99 (방배동)
127.1439725,37.553874,국민,40853,명일동,서울특별시 강동구 양재대로 1661,서울 강동구 양재대로 1661 (명일동)
127.0094784,37.4839591,국민,40866,서초남,서울특별시 서초구 효령로 231 진양제약사옥,서울 서초구 효령로 231 (서초동)
127.0797294,37.5317954,국민,40879,자양동,서울특별시 광진구 뚝섬로 632,서울 광진구 뚝섬로 632 (자양동)
126.9919275,37.4895576,국민,40882,방배중앙종합금융센터,서울특별시 서초구 방배로 181 단우빌딩,서울 서초구 방배로 181， 1층 (방배동，단우빌딩)
127.0268533,37.6236411,국민,40895,미아역,서울특별시 강북구 도봉로 167,서울 강북구 도봉로 167 (미아동)
126.828941,37.5356773,국민,40905,신월동,서울특별시 양천구 남부순환로 353,서울 양천구 남부순환로 353 (신월동)
127.0378975,37.5697853,국민,40918,마장동,서울특별시 성동구 고산자로 340 대해빌딩,서울 성동구 고산자로 340 (마장동)
127.0598218,37.6230093,국민,40921,광운대역,서울특별시 노원구 광운로 61 국민은행,서울 노원구 광운로 61 (월계동)
127.0233157,37.5788657,국민,40934,보문동,서울특별시 성북구 보문로 34 국민은행(보문동지점),서울 성북구 보문로 34 (보문동7가)
126.8460904,37.5443724,국민,40947,화곡본동,서울특별시 강서구 까치산로 59,서울 강서구 까치산로 59 (화곡동)
127.0119143,37.5426788,국민,40950,옥수동,서울특별시 성동구 독서당로 187 옥수동극동아파트,서울 성동구 독서당로 187， 상가 1층 (옥수동，극동아파트)
127.0337672,37.5207973,국민,40963,학동,서울특별시 강남구 언주로 735 관세개발원빌딩,서울 강남구 언주로 735 (논현동)
127.0279303,37.5228433,국민,40976,압구정서종합금융센터,서울특별시 강남구 논현로 833 재경빌딩,서울 강남구 논현로 833 (신사동)
126.9756444,37.554003,국민,40989,서울역,서울특별시 중구 소월로2길 30 남산트라팰리스,서울 중구 소월로2길 30， 1층 (남대문로5가，남산트라팰리스)
127.1362916,37.4969987,국민,43313,송파개롱역,서울특별시 송파구 오금로 420 한라산업개발빌딩,서울 송파구 오금로 420 (가락동)
127.1147721,37.5151113,국민,43371,방이동,서울특별시 송파구 백제고분로 501 청호빌딩,서울 송파구 백제고분로 501 (방이동)
127.0107581,37.5832249,국민,43397,한성대학교（출）,서울특별시 성북구 삼선동2가 362,서울시 성북구 삼선동2가 362，363
127.0382661,37.495771,국민,43423,역삼중앙,서울특별시 강남구 역삼로 175 현승빌딩,서울 강남구 역삼로 175 (역삼동)
126.970298,37.5818606,국민,43436,청운동,서울특별시 종로구 자하문로 67,서울 종로구 자하문로 67 (옥인동)
126.9821849,37.5696702,국민,43449,서린동,서울특별시 종로구 청계천로 41 영풍빌딩,서울 종로구 청계천로 41， 1층 (서린동，영풍빌딩)
126.8443427,37.4973874,국민,43452,오류동,서울특별시 구로구 오류동 31,서울특별시 구로구 오류동 31－286
127.0388607,37.5235613,국민,43465,학동사거리,서울특별시 강남구 선릉로 801,서울 강남구 선릉로 801， 1층 (신사동，배강빌딩)
127.0134445,37.5601684,국민,43478,청구역,서울특별시 중구 다산로 185 신흥빌딩,서울 중구 다산로 185 (신당동)
126.973868,37.5556155,국민,43481,대우센터（출）,서울특별시 중구 남대문로5가 541,서울시 중구 남대문로5가 541 대우센터15층
127.0320826,37.4997011,국민,43494,강남역종합금융센터,서울특별시 강남구 테헤란로 127 그레이스타워,서울 강남구 테헤란로 127 (역삼동)
127.0630759,37.4999483,국민,43504,대치남（점）,서울특별시 강남구 도곡로 519 구공빌딩,서울 강남구 도곡로 519 (대치동)
127.0230682,37.6334865,국민,43546,수유동,서울특별시 강북구 도봉로 281 국민은행,서울 강북구 도봉로 281 (수유동)
127.0666134,37.5917142,국민,43562,휘경동,서울특별시 동대문구 망우로 123,서울 동대문구 망우로 123 (휘경동)
127.0320593,37.6619475,국민,43575,신방학,서울특별시 도봉구 방학동 669,서울시 도봉구 방학동 669－1
127.0512548,37.5047864,국민,43588,선릉역종합금융센터,서울특별시 강남구 테헤란로 412 삼성생명대치2빌딩,서울 강남구 테헤란로 412 (대치동)
126.9760661,37.5629372,국민,43591,삼성센터,서울특별시 중구 태평로2가 310,서울시 중구 태평로2가 310
127.0429394,37.5039639,국민,43601,테헤란중앙,서울특별시 강남구 언주로 508 공무원연금공단,서울 강남구 언주로 508， 내 (역삼동，공무원연금공단)
127.0957226,37.5349755,국민,43614,테크노마트종합금융센터,서울특별시 광진구 광나루로56길 85 테크노-마트21,서울 광진구 광나루로56길 85 (구의동)
126.8858068,37.4767723,국민,43627,가산패션타운,서울특별시 금천구 벚꽃로 244 벽산디지털밸리5차,서울 금천구 벚꽃로 244 (가산동，벽산디지털밸리5차)
126.9971693,37.5728238,국민,43630,종로,서울특별시 종로구 인의동 112-1,서울특별시 종로구 인의동112－1
126.9042637,37.5196821,국민,43643,영등포,서울특별시 영등포구 영등포로 208,서울 영등포구 영등포로 208 (영등포동4가)
126.9288038,37.5591847,국민,43656,동교동,서울특별시 서대문구 창천동 506-1,서울시서대문구창천동506－20
127.0875559,37.5964872,국민,43669,상봉역,서울특별시 중랑구 망우로 316 이지팰리스,서울 중랑구 망우로 316， 2층 (상봉동，이지팰리스)
126.9315667,37.5680535,국민,43711,연희동,서울특별시 서대문구 연희로 113,서울 서대문구 연희로 113 (연희동)
126.90489,37.5326915,국민,43737,당산역,서울특별시 영등포구 양평로 12 정오빌딩,서울 영등포구 양평로 12 (당산동6가)
127.1311226,37.5157634,국민,43782,올림픽ＰＢ센터,서울특별시 송파구 양재대로 1222 올림픽프라자,서울 송파구 양재대로 1222 (방이동)
